Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,GLD,USO,^GSPC,GLD,USO,^GSPC,GLD,USO,^GSPC,GLD,USO,^GSPC,GLD,USO,^GSPC,GLD,USO,^GSPC
Date,,,,,,,,,,,,,,,,,,
2020-01-02,143.9499969482422,102.4800033569336,3257.85009765625,143.9499969482422,102.4800033569336,3257.85009765625,144.2100067138672,102.80000305175781,3258.139892578125,143.39999389648438,101.5999984741211,3235.530029296875,143.86000061035156,102.4000015258789,3244.669921875,7733800,1563638,3459930000
2020-01-03,145.86000061035156,105.44000244140625,3234.85009765625,145.86000061035156,105.44000244140625,3234.85009765625,146.32000732421875,106.55999755859375,3246.14990234375,145.39999389648438,104.23999786376953,3222.340087890625,145.75,106.16000366210938,3226.360107421875,12272800,4325450,3484700000
2020-01-06,147.38999938964844,105.27999877929688,3246.280029296875,147.38999938964844,105.27999877929688,3246.280029296875,148.47999572753906,106.55999755859375,3246.840087890625,146.9499969482422,104.95999908447266,3214.639892578125,148.44000244140625,106.4000015258789,3217.550048828125,14403300,2598413,3702460000
2020-01-07,147.97000122070312,105.04000091552734,3237.179931640625,147.97000122070312,105.04000091552734,3237.179931640625,148.13999938964844,105.44000244140625,3244.909912109375,147.42999267578125,104.08000183105469,3232.429931640625,147.57000732421875,104.80000305175781,3241.860107421875,7978500,1742075,3435910000
2020-01-08,146.86000061035156,101.27999877929688,3253.050048828125,146.86000061035156,101.27999877929688,3253.050048828125,148.61000061035156,104.55999755859375,3267.070068359375,146.13999938964844,99.12000274658203,3236.669921875,148.49000549316406,104.4800033569336,3238.590087890625,22248500,6918425,3726840000
2020-01-09,146.02999877929688,99.91999816894531,3274.699951171875,146.02999877929688,99.91999816894531,3274.699951171875,146.41000366210938,100.31999969482422,3275.580078125,145.44000244140625,98.31999969482422,3263.669921875,146.07000732421875,99.5999984741211,3266.030029296875,10292300,3439450,3641230000
2020-01-10,146.91000366210938,99.27999877929688,3265.35009765625,146.91000366210938,99.27999877929688,3265.35009765625,146.99000549316406,99.83999633789062,3282.989990234375,146.1699981689453,98.72000122070312,3260.860107421875,146.22000122070312,99.44000244140625,3281.81005859375,6183300,2016750,3214580000
2020-01-13,145.82000732421875,97.5999984741211,3288.1298828125,145.82000732421875,97.5999984741211,3288.1298828125,146.3800048828125,98.4800033569336,3288.1298828125,145.77999877929688,97.27999877929688,3268.429931640625,146.35000610351562,98.4800033569336,3271.1298828125,7593800,2858525,3459390000
2020-01-14,145.69000244140625,98.23999786376953,3283.14990234375,145.69000244140625,98.23999786376953,3283.14990234375,145.80999755859375,98.55999755859375,3294.25,145.0800018310547,97.5999984741211,3277.18994140625,145.4199981689453,98.16000366210938,3285.35009765625,6589700,2336713,3687620000
2020-01-15,146.5399932861328,97.44000244140625,3289.2900390625,146.5399932861328,97.44000244140625,3289.2900390625,146.72999572753906,97.76000213623047,3298.659912109375,145.82000732421875,96.4000015258789,3280.68994140625,146.2100067138672,97.5999984741211,3282.27001953125,6510000,1881763,3721490000
2020-01-16,146.30999755859375,98.31999969482422,3316.81005859375,146.30999755859375,98.31999969482422,3316.81005859375,146.47000122070312,98.87999725341797,3317.110107421875,145.75999450683594,97.5999984741211,3302.820068359375,146.27000427246094,97.5999984741211,3302.969970703125,6069100,1960813,3540580000
2020-01-17,146.5800018310547,98.63999938964844,3329.6201171875,146.5800018310547,98.63999938964844,3329.6201171875,146.99000549316406,98.95999908447266,3329.8798828125,146.30999755859375,97.91999816894531,3318.860107421875,146.50999450683594,98.63999938964844,3323.659912109375,11121100,2220763,3726220000
2020-01-21,146.74000549316406,97.91999816894531,3320.7900390625,146.74000549316406,97.91999816894531,3320.7900390625,146.86000061035156,98.72000122070312,3329.7900390625,145.5500030517578,97.68000030517578,3316.610107421875,145.77000427246094,97.76000213623047,3321.030029296875,6086100,1709638,4104840000
2020-01-22,146.7899932861328,95.19999694824219,3321.75,146.7899932861328,95.19999694824219,3321.75,146.80999755859375,96.31999969482422,3337.77001953125,146.3800048828125,95.04000091552734,3320.0400390625,146.67999267578125,96.23999786376953,3330.02001953125,4778200,3196463,3623780000
2020-01-23,147.1199951171875,93.27999877929688,3325.5400390625,147.1199951171875,93.27999877929688,3325.5400390625,147.6199951171875,93.68000030517578,3326.8798828125,146.6199951171875,92.0,3301.8701171875,147.0,92.80000305175781,3315.77001953125,8419800,3858525,3766710000
2020-01-24,147.97999572753906,91.44000244140625,3295.469970703125,147.97999572753906,91.44000244140625,3295.469970703125,148.3800048828125,92.0,3333.179931640625,146.88999938964844,90.4800033569336,3281.530029296875,146.89999389648438,91.91999816894531,3333.10009765625,9919900,3051025,3708780000
2020-01-27,148.99000549316406,88.80000305175781,3243.6298828125,148.99000549316406,88.80000305175781,3243.6298828125,149.32000732421875,89.91999816894531,3258.85009765625,148.4600067138672,88.16000366210938,3234.5,149.24000549316406,88.87999725341797,3247.159912109375,9988100,3142588,3831050000
2020-01-28,147.66000366210938,90.0,3276.239990234375,147.66000366210938,90.0,3276.239990234375,148.55999755859375,90.55999755859375,3285.780029296875,147.52999877929688,88.87999725341797,3253.219970703125,148.36000061035156,89.27999877929688,3255.35009765625,7543100,3048700,3531570000
2020-01-29,148.4600067138672,89.27999877929688,3273.39990234375,148.4600067138672,89.27999877929688,3273.39990234375,148.55999755859375,90.31999969482422,3293.469970703125,147.61000061035156,88.72000122070312,3271.889892578125,147.6999969482422,90.23999786376953,3289.4599609375,5013100,2720475,3600250000
2020-01-30,148.47000122070312,88.63999938964844,3283.659912109375,148.47000122070312,88.63999938964844,3283.659912109375,149.30999755859375,88.72000122070312,3285.909912109375,148.00999450683594,86.80000305175781,3242.800048828125,148.69000244140625,87.44000244140625,3256.449951171875,9119500,3689650,3790350000
2020-01-31,149.3300018310547,86.72000122070312,3225.52001953125,149.3300018310547,86.72000122070312,3225.52001953125,149.67999267578125,87.83999633789062,3282.330078125,148.80999755859375,85.5999984741211,3214.679931640625,148.8800048828125,87.04000091552734,3282.330078125,14788300,4051950,4529700000
2020-02-03,148.36000061035156,83.91999816894531,3248.919921875,148.36000061035156,83.91999816894531,3248.919921875,148.77999877929688,86.72000122070312,3268.43994140625,147.67999267578125,83.83999633789062,3235.659912109375,148.66000366210938,86.0,3235.659912109375,9105300,5052888,3760460000
2020-02-04,146.42999267578125,83.5199966430664,3297.590087890625,146.42999267578125,83.5199966430664,3297.590087890625,147.02999877929688,85.5999984741211,3306.919921875,145.8000030517578,83.19999694824219,3280.610107421875,146.97000122070312,85.44000244140625,3280.610107421875,10525600,5189425,3996900000
2020-02-05,146.61000061035156,85.5999984741211,3334.68994140625,146.61000061035156,85.5999984741211,3334.68994140625,146.80999755859375,87.12000274658203,3337.580078125,146.16000366210938,84.72000122070312,3313.75,146.3800048828125,86.0,3324.909912109375,6160700,5089350,4121480000
2020-02-06,147.39999389648438,85.91999816894531,3345.780029296875,147.39999389648438,85.91999816894531,3345.780029296875,147.6300048828125,86.16000366210938,3347.9599609375,147.0,84.4000015258789,3334.389892578125,147.27999877929688,85.12000274658203,3344.919921875,4819800,3249838,3887250000
